Time,TargetLevel,ActualLevel,StoperPo,CSTSpeed,TudishWeight
2022/3/30 4:58,78,0.11,0,0,0.05
2022/3/30 4:58,78,0.11,0,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0
2022/3/30 4:58,78,0.13,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0.01
2022/3/30 4:58,78,0.12,-0.07,0,0.01
2022/3/30 4:58,78,0.11,-0.07,0,0.05
2022/3/30 4:58,78,0.11,-0.07,0,0.05
2022/3/30 4:58,78,0.12,-0.07,0,0.05
2022/3/30 4:58,78,0.11,-0.07,0,0.05
2022/3/30 4:58,78,0.11,-0.07,0,0.01
2022/3/30 4:58,78,0.12,-0.07,0.35,0.05
2022/3/30 4:58,78,0.12,-0.07,0.34,0.05
2022/3/30 4:58,78,0.12,-0.07,0.31,0.01
2022/3/30 4:58,78,0.12,-0.07,0.33,0.01
2022/3/30 4:58,78,0.12,-0.07,0.35,0.01
2022/3/30 4:58,78,0.12,-0.07,0.35,0.01
2022/3/30 4:58,78,0.11,-0.07,0.36,0
2022/3/30 4:58,78,0.11,-0.07,0.35,0.01
2022/3/30 4:58,78,0.11,-0.07,0.35,0
2022/3/30 4:58,78,0.11,-0.07,0.35,0
2022/3/30 4:58,78,0.11,-0.07,0.35,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0.01
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.11,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
2022/3/30 4:58,78,0.12,-0.07,0,0
